
Name                                                                            Value
Microsoft.Azure.SiteRecovery.Stage.LinuxOL6                                     1.0.25.317
Microsoft.Azure.Automation.HybridWorker.Test.HybridWorkerForWindows             2.0.4
Microsoft.Compute.CustomScriptExtension                                         1.10.20
Microsoft.Azure.SCOMMI.WindowsAgent.Test                                        1.0.420.0
Microsoft.Azure.Security.AntimalwareSignature.AntimalwareConfiguration          2.185.0.1
Microsoft.Azure.Security.Edp.AzureDiskEncryptionForLinuxTest2                   1.2.0.75
Microsoft.Azure.KeyVault.KeyVaultForWindows                                     3.6.3145.208
Microsoft.Azure.RecoveryServices.SiteRecovery2.LinuxOL9                         1.0.0.9256
Microsoft.Azure.RecoveryServices.SiteRecovery.Windows                           1.0.0.9257
Acronis.Backup.AcronisBackupLinux                                               1.0.33
Microsoft.Azure.Extensions.GuestActionForLinux                                  1.0.0
Microsoft.AksArcForLinux.AksArcBareMetalAgent                                   0.10.27
Microsoft.VisualStudio.Services.TeamServicesAgent                               1.33.1.1
Microsoft.ServicesHub.SCOMAssessmentPlus                                        1.7
Microsoft.Azure.Automation.HybridWorker.HybridWorkerForLinux                    1.1.31
logzio.LogzioLogExtensionLinux                                                  1.0.0
Microsoft.Azure.ContainerUpstream.CAPZ.Linux.Bootstrapping                      1.1.1
Microsoft.Windows.AzureRemoteApp.Test.AzureRemoteAppTestAgentV2                 1.0
M365Security.KevlarExtensions.TorusExtension                                    2.27.0.0
Microsoft.Azure.Applications.IaaS47C6E03DTest                                   1.0.0.3
Microsoft.ServicesHub.SharepointOnlineAssessment                                1.12
Microsoft.Azure.ServiceFabric.PrivateTest.ServiceFabricNode                     1.1.0.7
Microsoft.CPlat.Core.NullWindows2                                               2.10.0
Microsoft.HpcCompute.Edp.NvidiaGpuDriverLinux                                   1.13.0.2
Microsoft.EnterpriseCloud.Monitoring.MicrosoftMonitoringAgent                   1.0.18076.0
Microsoft.Azure.Geneva.GenevaMonitoring                                         2.55.0.16
Site24x7.Site24x7WindowsServerExtn                                              1.8.0.0
Microsoft.AzureStack.Observability.LinuxEdgeObservability                       0.0.0.89
Microsoft.Azure.Diagnostics.Edp.LinuxDiagnostic                                 3.0.129
Microsoft.Test.Azure.Workloads.WorkloadsExtensionLinux                          1.10.0.4
KevlarExtensions.M365SecurityHostIDS.ODLExtension                               1.0.20210604.04…
Microsoft.Azure.RecoveryServices.WorkloadBackup.AzureBackupLinuxWorkload        3.0.0.1
Microsoft.CPlat.Core.WindowsHibernateExtension                                  1.0.3
microsoft.o3fnet.LkgDnsPluginManagerExtension                                   1.11.0.0
Microsoft.Azure.KeyVault.Edp.KeyVaultForWindows                                 1.0.1257.24
Microsoft.AzureVirtualDesktop.AzureVirtualDesktopAgent-Test                     1.0.21
Microsoft.Azure.Extensions.GuestActionForWindows                                1.0.0
Microsoft.ManagedServices.ApplicationHealthWindows                              2.0.23
Microsoft.Azure.ChangeTrackingAndInventory.ChangeTracking-Windows               2.35.0.0
Microsoft.ServicesHub.SCCMAssessmentPlus                                        1.9
Microsoft.AzureStack.Observability.EdgeRemoteSupport                            1.0.10.2
Test.TrendMicro.DeepSecurity.TrendMicroDSALinux                                 10.0.0.10601
Microsoft.Azure.Security.Test.IaaSAntimalware                                   1.7.0.3
Microsoft.Azure.SiteRecovery.Stage.Windows                                      1.0.25.317
Microsoft.AzureSecurity.JITAccess.VMJITAccessExtension                          1.0.1.0
Microsoft.Azure.ChangeTrackingAndInventory.ChangeTracking-Linux                 2.35.0.0
Microsoft.Azure.SiteRecovery2.Test.LinuxSLES15                                  1.5.25.333
Microsoft.Azure.ServiceFabric.MC.PrivateTest.SFMCBootstrapMi                    1.3.0.0
Microsoft.EnterpriseCloud.Monitoring.Test.MicrosoftMonitoringAgent              1.0.11049.1
Qualys.LinuxAgent.AzureSecurityCenter                                           1.0.0.20
Microsoft.Compute.VMAccessAgent                                                 2.4.14
Microsoft.Azure.SiteRecovery.Stage.LinuxUBUNTU2004                              1.0.25.317
Symantec.CloudWorkloadProtection.SCWPAgentForLinux                              3.4.2.0
Microsoft.Azure.Monitoring.DependencyAgent.DependencyAgentWindows               9.10.18.4770
Qualys.WindowsAgent.GrayLabel.QualysAgentGL                                     1.0.0.2
Microsoft.Azure.Security.Dsms.Edp.DSMSForWindows                                3.15.1580.0
Microsoft.ManagedIdentity.ManagedIdentityExtensionForWindows                    1.0.0.14
Microsoft.Azure.SiteRecovery.Stage.LinuxDEBIAN12                                1.0.25.317
Microsoft.Azure.SiteRecovery.Test.LinuxSLES11SP4Test                            1.5.25.333
Microsoft.CPlat.Core.Edp.WindowsPatchExtension                                  1.5.16
Microsoft.OSTCExtensions.RDMAUpdateForLinux                                     0.1.0.9
Microsoft.Interceptor.LogCollector                                              1.0.2
Microsoft.Azure.Extensions.FixLinuxDiagnostic                                   1.0.0
Microsoft.AzureVirtualDesktop.CloudDeviceExtension                              1.0.03105.58
Microsoft.HpcCompute.Edp.AmdGpuDriverWindows                                    1.5.0.5
Xitoring.XitogentLinux                                                          1.0.0.1
Microsoft.Azure.SiteRecovery.Stage.LinuxSLES12                                  1.0.25.317
